Experiment,Protein,Rpf
E54K,Rpf WT,37587
E54K,Rpf WT,44669
E54K,Rpf WT,46589
E54K,Rpf WT,48237
E54K,Rpf WT,43981
E54K,Rpf WT,44894
E54K,Rpf WT,43334
E54K,Rpf WT,39684
E54K,E54K,4458
E54K,E54K,3542
E54K,E54K,3456
E54K,E54K,3455
E54K,E54K,3498
E54K,E54K,3745
E54K,E54K,3674
E54K,E54K,4217
E54K,Substrate,1779
E54K,Substrate,1460
E54K,Substrate,1679
E54K,Substrate,1671
E54Q,Rpf WT,32948
E54Q,Rpf WT,34941
E54Q,Rpf WT,38428
E54Q,Rpf WT,49380
E54Q,E54Q,31234
E54Q,E54Q,27132
E54Q,E54Q,26870
E54Q,E54Q,27416
E54Q,Substrate,6598
E54Q,Substrate,15086
E54Q,Substrate,10664
E54Q,Substrate,11189
E54A,Rpf WT,48114
E54A,Rpf WT,32294
E54A,Rpf WT,32922
E54A,Rpf WT,30722
E54A,E54A,31947
E54A,E54A,26505
E54A,E54A,24414
E54A,E54A,25292
E54A,Substrate,15858
E54A,Substrate,17803
E54A,Substrate,16841
E54A,Substrate,17989
